Team,Implied_Odds,Year,Title_Odds
Chicago Bulls,0.0033223,2017,30000
Indiana Pacers,0.0029762,2017,33500
Golden State Warriors,0.5744681,2016,-135
San Antonio Spurs,0.2008032,2016,398
Cleveland Cavaliers,0.1739130,2016,475
Oklahoma City Thunder,0.0444444,2016,2150
Toronto Raptors,0.0243902,2016,4000
Los Angeles Clippers,0.0208333,2016,4700
Miami Heat,0.0123457,2016,8000
Boston Celtics,0.0123457,2016,8000
Atlanta Hawks,0.0099010,2016,10000
Charlotte Hornets,0.0066225,2016,15000
Indiana Pacers,0.0046296,2016,21500
Portland Trail Blazers,0.0036232,2016,27500
Detroit Pistons,0.0036232,2016,27500
Houston Rockets,0.0024938,2016,40000
Dallas Mavericks,0.0019960,2016,50000
Memphis Grizzlies,0.0009990,2016,100000
Golden State Warriors,0.3636364,2015,175
Cleveland Cavaliers,0.3076923,2015,225
San Antonio Spurs,0.2222222,2015,350
Atlanta Hawks,0.0909091,2015,1000
Chicago Bulls,0.0666667,2015,1400
Los Angeles Clippers,0.0588235,2015,1600
Houston Rockets,0.0476190,2015,2000
Memphis Grizzlies,0.0434783,2015,2200
Portland Trail Blazers,0.0243902,2015,4000
Dallas Mavericks,0.0196078,2015,5000
Toronto Raptors,0.0149254,2015,6600
Washington Wizards,0.0123457,2015,8000
New Orleans Pelicans,0.0066225,2015,15000
Milwaukee Bucks,0.0049751,2015,20000
Brooklyn Nets,0.0049751,2015,20000
Boston Celtics,0.0049751,2015,20000
Miami Heat,0.3333333,2014,200
San Antonio Spurs,0.2325581,2014,330
Oklahoma City Thunder,0.2000000,2014,400
Indiana Pacers,0.1818182,2014,450
Los Angeles Clippers,0.1000000,2014,900
Houston Rockets,0.0526316,2014,1800
Brooklyn Nets,0.0322581,2014,3000
Golden State Warriors,0.0322581,2014,3000
Portland Trail Blazers,0.0243902,2014,4000
Chicago Bulls,0.0196078,2014,5000
Toronto Raptors,0.0149254,2014,6600
Memphis Grizzlies,0.0123457,2014,8000
Dallas Mavericks,0.0123457,2014,8000
Washington Wizards,0.0066225,2014,15000
Atlanta Hawks,0.0049751,2014,20000
Charlotte Bobcats,0.0049751,2014,20000
Miami Heat,0.5555556,2013,-125
Oklahoma City Thunder,0.2222222,2013,350
San Antonio Spurs,0.1333333,2013,650
New York Knicks,0.0588235,2013,1600
Los Angeles Clippers,0.0588235,2013,1600
Indiana Pacers,0.0476190,2013,2000
Denver Nuggets,0.0434783,2013,2200
Memphis Grizzlies,0.0294118,2013,3300
Chicago Bulls,0.0243902,2013,4000
Los Angeles Lakers,0.0243902,2013,4000
Brooklyn Nets,0.0196078,2013,5000
Boston Celtics,0.0149254,2013,6600
Golden State Warriors,0.0099010,2013,10000
Atlanta Hawks,0.0099010,2013,10000
Houston Rockets,0.0079365,2013,12500
Milwaukee Bucks,0.0039841,2013,25000
Miami Heat,0.3333333,2012,200
Chicago Bulls,0.2309469,2012,333
Oklahoma City Thunder,0.2222222,2012,350
San Antonio Spurs,0.1818182,2012,450
Los Angeles Lakers,0.0769231,2012,1200
Boston Celtics,0.0476190,2012,2000
Los Angeles Clippers,0.0384615,2012,2500
Memphis Grizzlies,0.0384615,2012,2500
Indiana Pacers,0.0294118,2012,3300
Dallas Mavericks,0.0294118,2012,3300
New York Knicks,0.0243902,2012,4000
Denver Nuggets,0.0149254,2012,6600
Atlanta Hawks,0.0123457,2012,8000
Philadelphia 76ers,0.0099010,2012,10000
Orlando Magic,0.0099010,2012,10000
Utah Jazz,0.0066225,2012,15000
Los Angeles Lakers,0.2666667,2011,275
Miami Heat,0.2500000,2011,300
Chicago Bulls,0.2000000,2011,400
Boston Celtics,0.1538462,2011,550
San Antonio Spurs,0.1428571,2011,600
Oklahoma City Thunder,0.0588235,2011,1600
Dallas Mavericks,0.0526316,2011,1800
Orlando Magic,0.0526316,2011,1800
New York Knicks,0.0243902,2011,4000
Denver Nuggets,0.0196078,2011,5000
Portland Trail Blazers,0.0123457,2011,8000
Atlanta Hawks,0.0079365,2011,12500
Philadelphia 76ers,0.0066225,2011,15000
Memphis Grizzlies,0.0049751,2011,20000
New Orleans Hornets,0.0049751,2011,20000
Indiana Pacers,0.0039841,2011,25000
Cleveland Cavaliers,0.3846154,2010,160
Los Angeles Lakers,0.3076923,2010,225
Orlando Magic,0.1333333,2010,650
Boston Celtics,0.0769231,2010,1200
Dallas Mavericks,0.0769231,2010,1200
Denver Nuggets,0.0588235,2010,1600
San Antonio Spurs,0.0476190,2010,2000
Utah Jazz,0.0384615,2010,2500
Phoenix Suns,0.0344828,2010,2800
Atlanta Hawks,0.0294118,2010,3300
Oklahoma City Thunder,0.0196078,2010,5000
Portland Trail Blazers,0.0149254,2010,6600
Miami Heat,0.0099010,2010,10000
Charlotte Bobcats,0.0066225,2010,15000
Milwaukee Bucks,0.0066225,2010,15000
Chicago Bulls,0.0066225,2010,15000
Los Angeles Lakers,0.2631579,2020,280
Miami Heat,0.0357143,2020,2700
Boston Celtics,0.0869565,2020,1050
Denver Nuggets,0.0322581,2020,3000
Los Angeles Clippers,0.2958580,2020,238
Milwaukee Bucks,0.2325581,2020,330
Toronto Raptors,0.0769231,2020,1200
Houston Rockets,0.0714286,2020,1300
Portland Trail Blazers,0.0384615,2020,2500
Philadelphia 76ers,0.0196078,2020,5000
Dallas Mavericks,0.0178571,2020,5500
Oklahoma City Thunder,0.0149254,2020,6600
Utah Jazz,0.0123457,2020,8000
Orlando Magic,0.0099010,2020,10000
Indiana Pacers,0.0049751,2020,20000
Brooklyn Nets,0.0039841,2020,25000
Brooklyn Nets,0.3333333,2021,200
Los Angeles Lakers,0.2000000,2021,400
Los Angeles Clippers,0.1176471,2021,750
Utah Jazz,0.1176471,2021,750
Milwaukee Bucks,0.1052632,2021,850
Philadelphia 76ers,0.1111111,2021,800
Denver Nuggets,0.0243902,2021,4000
Phoenix Suns,0.0526316,2021,1800
Miami Heat,0.0243902,2021,4000
Boston Celtics,0.0099010,2021,10000
Dallas Mavericks,0.0322581,2021,3000
Portland Trail Blazers,0.0277778,2021,3500
Atlanta Hawks,0.0149254,2021,6600
Washington Wizards,0.0099010,2021,10000
Memphis Grizzlies,0.0099010,2021,10000
New York Knicks,0.0123457,2021,8000
Phoenix Suns,0.2777778,2022,260
Brooklyn Nets,0.1111111,2022,800
Milwaukee Bucks,0.1666667,2022,500
Golden State Warriors,0.0909091,2022,1000
Philadelphia 76ers,0.0588235,2022,1600
Boston Celtics,0.1176471,2022,750
Miami Heat,0.0909091,2022,1000
Memphis Grizzlies,0.0769231,2022,1200
Utah Jazz,0.0344828,2022,2800
Denver Nuggets,0.0344828,2022,2800
Dallas Mavericks,0.0243902,2022,4000
Chicago Bulls,0.0099010,2022,10000
Minnesota Timberwolves,0.0196078,2022,5000
Toronto Raptors,0.0149254,2022,6600
Atlanta Hawks,0.0099010,2022,10000
New Orleans Pelicans,0.0099010,2022,10000
